filename,filetype,order,saturation,sat.granularity,timeAvg,timeSd,solvedCount,peak.nodes,timeBest,memBest,timeMark,memMark,minMemMark,minTimeMark,maxSolvedCount,minSd
2-10_phaseVariation,pnml,bfs-prev,sat-loop,1,0.173,0.0163639169,10,3723,0.169,3723,1.0236686391,1,1,1.0236686391,10,0.0163639169
2D8_gradient_10x10_10,pnml,chain,sat-like,1,1.458,0.1536807658,10,6490,1.458,6490,1,1,1,1,10,0.1536807658
2D8_gradient_10x10_100,pnml,chain,sat-like,1,1518.589,593.269528338,2,505000,1407.427,505000,1.0789824268,1,1,1.0789824268,2,593.269528338
2D8_gradient_10x10_50,pnml,chain-prev,sat-like,1,46.255,2.5242039449,10,130050,46.255,130050,1,1,1,1,10,2.5242039449
2D8_gradient_20x20_10,pnml,chain,sat-like,5,30.428,3.4427566474,10,26290,30.428,26290,1,1,1,1,10,3.4427566474
2D8_gradient_30x30_10,pnml,chain-prev,sat-like,5,145.011,14.225858654,10,59290,145.011,59290,1,1,1,1,10,14.225858654
2D8_gradient_40x40_10,pnml,chain-prev,sat-like,20,1515.954,598.8226788587,2,,1515.954,,1,,,1,2,598.8226788587
2D8_gradient_5x5_10,pnml,chain,sat-like,1,0.104,0.010749677,10,1540,0.104,1540,1,1,1,1,10,0.010749677
2D8_gradient_5x5_100,pnml,bfs-prev,sat-like,1,24.508,1.339517326,10,118675,24.508,118675,1,1,1,1,10,1.339517326
2D8_gradient_5x5_150,pnml,bfs-prev,sat-like,1,82.662,4.8565140676,10,264250,82.662,264250,1,1,1,1,10,4.8565140676
2D8_gradient_5x5_200,pnml,bfs-prev,sat-like,1,383.991,497.5642382302,9,,383.991,,1,,,1,9,497.5642382302
2D8_gradient_5x5_50,pnml,bfs-prev,sat-like,1,3.824,0.4392721252,10,30600,3.824,30600,1,1,1,1,10,0.4392721252
5-10_phaseVariation,pnml,bfs-prev,none,,86.703,2.2968676738,10,33456,39.695,33456,2.1842297519,1,1,2.1842297519,10,2.2968676738
adding.1,dve2C,chain-prev,sat-like,1,0.08,0.0066666667,10,3221,0.0636666667,3221,1.2565445026,1,1,1.2565445026,10,0.0066666667
adding.2,dve2C,chain-prev,sat-loop,2147483647,29.8251666667,2.796195655,60,376132,18.9783333333,376132,1.5715377185,1,1,1.5715377185,60,2.796195655
adding.3,dve2C,chain-prev,sat-loop,2147483647,95.4528333333,6.8456033377,60,864201,60.235,864201,1.5846739161,1,1,1.5846739161,60,6.8456033377
adding.4,dve2C,chain-prev,sat-loop,2147483647,217.586,7.2280792394,60,1558102,134.987,1558102,1.6119033685,1,1,1.6119033685,60,7.2280792394
adding.5,dve2C,chain-prev,sat-loop,2147483647,1406.8636666667,630.5374476681,17,2448215,977.3458333333,2448215,1.4394737448,1,1,1.4394737448,17,630.5374476681
adding.6,dve2C,bfs-prev,sat-loop,1,1263.272,692.9253096803,4,4164989,1263.272,4164989,1,1,1,1,4,692.9253096803
afcs_01_a,pnml,chain-prev,sat-like,5,0.012,0.0063245553,10,155,0.011,155,1.0909090909,1,1,1.0909090909,10,0.0063245553
afcs_01_b,pnml,chain,sat-like,10,0.792,0.0187379591,10,6057,0.781,6057,1.014084507,1,1,1.014084507,10,0.0187379591
afcs_02_a,pnml,chain,sat-like,1,0.025,0.0052704628,10,407,0.025,407,1,1,1,1,10,0.0052704628
afcs_02_b,pnml,chain-prev,sat-like,40,31.739,0.9316586165,10,103841,26.645,103841,1.191180334,1,1,1.191180334,10,0.9316586165
afcs_03_a,pnml,chain,sat-like,5,0.185,0.0206827894,10,1310,0.185,1310,1,1,1,1,10,0.0206827894
afcs_03_b,pnml,chain-prev,sat-like,10,161.374,7.505567119,10,478648,133.895,478648,1.2052279771,1,1,1.2052279771,10,7.505567119
afcs_04_a,pnml,chain,sat-like,5,0.403,0.0249666444,10,3985,0.403,3985,1,1,1,1,10,0.0249666444
afcs_05_a,pnml,chain,sat-like,5,1.324,0.1562192192,10,5620,1.324,5620,1,1,1,1,10,0.1562192192
afcs_06_a,pnml,chain,sat-like,5,2.642,0.0862554346,10,23832,2.642,23832,1,1,1,1,10,0.0862554346
afcs_12_a,pnml,chain-prev,sat-like,1,6.437,0.4962313529,10,3793,6.437,3793,1,1,1,1,10,0.4962313529
afcs_24_a,pnml,chain-prev,sat-like,1,81.89,4.3684983436,10,12469,81.89,12469,1,1,1,1,10,4.3684983436
AirplaneLD-pt-0010,pnml,chain,sat-loop,20,0.033,0.008232726,10,455,0.033,455,1,1,1,1,10,0.008232726
AirplaneLD-pt-0020,pnml,chain-prev,sat-loop,20,0.105,0.0052704628,10,854,0.105,854,1,1,1,1,10,0.0052704628
AirplaneLD-pt-0050,pnml,chain,sat-loop,80,0.544,0.0236643191,10,2039,0.544,2039,1,1,1,1,10,0.0236643191
AirplaneLD-pt-0100,pnml,chain-prev,sat-loop,20,2.042,0.2017038533,10,4035,2.042,4035,1,1,1,1,10,0.2017038533
AirplaneLD-pt-0200,pnml,chain-prev,sat-loop,40,7.94,0.5867424194,10,7985,7.94,7985,1,1,1,1,10,0.5867424194
AirplaneLD-pt-0500,pnml,chain-prev,sat-loop,10,52.97,5.6297779708,10,19835,52.97,19835,1,1,1,1,10,5.6297779708
AirplaneLD-pt-1000,pnml,bfs-prev,sat-loop,40,1396.904,649.0473589329,3,,1396.904,,1,,,1,3,649.0473589329
anderson.1,dve2C,chain-prev,sat-loop,5,3.842,0.1230898497,10,40656,3.446,40656,1.1149158445,1,1,1.1149158445,10,0.1230898497
anderson.2,dve2C,chain-prev,sat-like,1,0.023,0.0067494856,10,588,0.023,588,1,1,1,1,10,0.0067494856
anderson.3,dve2C,bfs-prev,none,,1405.854,634.635621373,3,,1405.854,,1,,,1,3,634.635621373
anderson.4,dve2C,bfs-prev,sat-like,5,0.158,0.0289827535,10,2808,0.145,2808,1.0896551724,1,1,1.0896551724,10,0.0289827535
anderson.6,dve2C,bfs-prev,sat-loop,10,9.205,0.7454342508,10,56618,5.56,56618,1.6555755396,1,1,1.6555755396,10,0.7454342508
anderson.8,dve2C,bfs-prev,sat-like,5,46.6,1.6707682863,10,393528,35.278,393528,1.320936561,1,1,1.320936561,10,1.6707682863
angiogenesis-01,pnml,chain-prev,sat-like,5,0.025,0.0070710678,10,323,0.021,323,1.1904761905,1,1,1.1904761905,10,0.0070710678
angiogenesis-05,pnml,chain,sat-like,10,2.06,0.4058735435,10,17626,1.347,17626,1.5293244246,1,1,1.5293244246,10,0.4058735435
angiogenesis-10,pnml,bfs,sat-like,5,35.312,2.8335482271,10,229164,27.479,229164,1.2850540413,1,1,1.2850540413,10,2.8335482271
angiogenesis-15,pnml,chain,sat-like,5,404.542,490.3617340925,9,1269833,404.542,1269833,1,1,1,1,9,490.3617340925
at.1,dve2C,chain-prev,sat-loop,5,0.188,0.0103279556,10,2771,0.152,2771,1.2368421053,1,1,1.2368421053,10,0.0103279556
at.2,dve2C,chain-prev,sat-loop,5,0.238,0.0063245553,10,3414,0.205,3414,1.1609756098,1,1,1.1609756098,10,0.0063245553
at.3,dve2C,chain-prev,sat-like,1,2.707,0.0605621811,10,38612,2.707,38612,1,1,1,1,10,0.0605621811
at.4,dve2C,bfs-prev,sat-like,1,4.405,0.1687371394,10,51280,4.405,51280,1,1,1,1,10,0.1687371394
at.5,dve2C,chain-prev,sat-like,1,14.987,0.607674072,10,184322,14.987,184322,1,1,1,1,10,0.607674072
at.6,dve2C,chain-prev,sat-like,1,76.956,1.691608045,10,785836,76.956,785836,1,1,1,1,10,1.691608045
at.7,dve2C,chain-prev,sat-like,5,138.428,16.5186586757,10,1075423,109.442,1075423,1.264852616,1,1,1.264852616,10,16.5186586757
blocks.2,dve2C,bfs-prev,sat-loop,1,0.182,0.0091893658,10,2996,0.178,2996,1.0224719101,1,1,1.0224719101,10,0.0091893658
blocks.3,dve2C,chain-prev,sat-like,1,16.188,0.47837224,10,55595,14.005,55595,1.1558729025,1,1,1.1558729025,10,0.47837224
bopdp.1,dve2C,chain-prev,sat-like,1,0.226,0.0171269768,10,2497,0.226,2497,1,1,1,1,10,0.0171269768
bopdp.2,dve2C,bfs-prev,sat-like,1,0.328,0.020976177,10,1471,0.202,1471,1.6237623762,1,1,1.6237623762,10,0.020976177
bopdp.3,dve2C,chain-prev,sat-loop,10,0.943,0.2312790522,10,5322,0.801,5322,1.177278402,1,1,1.177278402,10,0.2312790522
bridge.1,dve2C,chain-prev,sat-like,2147483647,0.0874,0.0094350627,50,1527,0.0762,1527,1.1469816273,1,1,1.1469816273,50,0.0094350627
bridge.2,dve2C,chain-prev,sat-loop,2147483647,1.2325,0.0703744563,40,14585,1.08825,14585,1.1325522628,1,1,1.1325522628,40,0.0703744563
bridge.3,dve2C,bfs-prev,sat-loop,2147483647,4.51175,0.2921440416,40,54308,4.51175,54308,1,1,1,1,40,0.2921440416
BridgeAndVehicles-V04-P05-N02-unfolded,pnml,chain-prev,sat-like,1,0.125,0.0271825107,10,2966,0.125,2966,1,1,1,1,10,0.0271825107
BridgeAndVehicles-V10-P10-N10-unfolded,pnml,chain-prev,sat-like,1,15.698,2.6727422455,10,88471,13.087,88471,1.1995109651,1,1,1.1995109651,10,2.6727422455
BridgeAndVehicles-V20-P10-N10-unfolded,pnml,chain-prev,sat-like,5,198.418,11.5805707017,10,566212,198.418,566212,1,1,1,1,10,11.5805707017
BridgeAndVehicles-V20-P10-N20-unfolded,pnml,bfs-prev,sat-like,10,1692.452,340.0966377958,1,,1692.452,,1,,,1,1,340.0966377958
BridgeAndVehicles-V20-P20-N10-unfolded,pnml,bfs-prev,sat-like,1,1347.545,728.5382610749,3,562997,196.893,562997,6.8440472744,1,1,6.8440472744,3,728.5382610749
brp2.1,dve2C,bfs-prev,sat-loop,5,1.296,0.0313404247,10,27663,1.0235,27663,1.2662432829,1,1,1.2662432829,10,0.0313404247
brp2.2,dve2C,chain-prev,sat-like,1,1.8,0.040824829,10,39160,1.5995,39160,1.1253516724,1,1,1.1253516724,10,0.040824829
brp2.3,dve2C,bfs-prev,sat-loop,10,1.239,0.0185292561,10,26605,0.975,26605,1.2707692308,1,1,1.2707692308,10,0.0185292561
brp2.4,dve2C,bfs-prev,sat-loop,10,10.699,0.1922064862,10,187130,7.04625,187130,1.5183963101,1,1,1.5183963101,10,0.1922064862
brp2.5,dve2C,bfs-prev,sat-loop,10,7.326,0.1230356768,10,105382,4.84825,105382,1.511060692,1,1,1.511060692,10,0.1230356768
brp2.6,dve2C,bfs-prev,sat-loop,10,83.461,2.3676357171,10,863477,44.864,863477,1.8603111626,1,1,1.8603111626,10,2.3676357171
cambridge.1,dve2C,chain-prev,sat-loop,10,0.255,0.0690008051,10,2781,0.255,2781,1,1,1,1,10,0.0690008051
cambridge.2,dve2C,chain-prev,sat-loop,10,0.281,0.01197219,10,3399,0.281,3399,1,1,1,1,10,0.01197219
cambridge.3,dve2C,chain-prev,sat-loop,10,0.294,0.006992059,10,3737,0.267,3737,1.1011235955,1,1,1.1011235955,10,0.006992059
cambridge.4,dve2C,chain-prev,none,,0.962,0.0922315926,10,6545,0.852,6545,1.1291079812,1,1,1.1291079812,10,0.0922315926
cambridge.5,dve2C,chain-prev,sat-loop,20,9.143,0.1462152143,10,29227,9.143,29227,1,1,1,1,10,0.1462152143
cambridge.6,dve2C,bfs-prev,sat-like,1,43.082,1.3453690118,10,69647,43.082,69647,1,1,1,1,10,1.3453690118
cambridge.7,dve2C,chain-prev,sat-like,20,215.67,9.3212683925,10,141436,154.933,141436,1.3920210672,1,1,1.3920210672,10,9.3212683925
circadian_clock-000001,pnml,bfs-prev,sat-like,5,0.006,0.0051639778,10,36,0.005,36,1.2,1,1,1.2,10,0.0051639778
circadian_clock-000010,pnml,chain,sat-loop,10,0.025,0.0084983659,10,254,0.023,254,1.0869565217,1,1,1.0869565217,10,0.0084983659
circadian_clock-000100,pnml,chain,sat-loop,10,5.379,0.3310068814,10,6869,5.379,6869,1,1,1,1,10,0.3310068814
CircularTrain-012,pnml,chain,sat-loop,2147483647,0.0113333333,0.0068144539,30,279,0.007,279,1.619047619,1,1,1.619047619,30,0.0068144539
CircularTrain-024,pnml,chain,sat-like,40,0.088,0.0063245553,10,1319,0.057,1319,1.5438596491,1,1,1.5438596491,10,0.0063245553
CircularTrain-048,pnml,chain,sat-loop,80,2.179,0.1123931591,10,7749,0.638,7749,3.4153605016,1,1,3.4153605016,10,0.1123931591
CircularTrain-096,pnml,chain,sat-like,40,26.356,1.9316325853,10,55526,9.548,55526,2.7603686636,1,1,2.7603686636,10,1.9316325853
CircularTrain-192,pnml,chain,sat-like,10,393.38,494.3447662872,9,497050,369.13,497050,1.0656950126,1,1,1.0656950126,9,494.3447662872
closed_system1,pnml,chain-prev,sat-loop,40,1.51,0.1913112647,10,4785,0.853,4785,1.7702227433,1,1,1.7702227433,10,0.1913112647
closed_system2,pnml,chain-prev,sat-like,40,2.942,0.3519406516,10,9688,2.117,9688,1.3897024091,1,1,1.3897024091,10,0.3519406516
closed_system3,pnml,chain-prev,sat-like,80,6.393,1.2999918803,10,11625,3.114,11625,2.0529865125,1,1,2.0529865125,10,1.2999918803
closed_system4,pnml,chain-prev,sat-loop,80,8.262,0.1636255889,10,12397,3.017,12397,2.7384819357,1,1,2.7384819357,10,0.1636255889
closed_system5,pnml,chain-prev,sat-like,40,2.964,0.1322623655,10,11095,2.331,11095,1.2715572716,1,1,1.2715572716,10,0.1322623655
collision.1,dve2C,chain-prev,sat-like,1,0.039,0.0031622777,10,309,0.039,309,1,1,1,1,10,0.0031622777
collision.2,dve2C,bfs-prev,sat-like,1,0.073,0.0067494856,10,339,0.057,339,1.2807017544,1,1,1.2807017544,10,0.0067494856
collision.3,dve2C,bfs-prev,sat-like,1,0.356,0.0134989712,10,1881,0.261,1881,1.3639846743,1,1,1.3639846743,10,0.0134989712
collision.4,dve2C,bfs-prev,sat-like,1,1.492,0.0463800723,10,11077,1.187,11077,1.2569502949,1,1,1.2569502949,10,0.0463800723
collision.5,dve2C,bfs-prev,sat-like,1,3.226,0.0623965811,10,26291,3.226,26291,1,1,1,1,10,0.0623965811
collision.6,dve2C,bfs-prev,sat-like,1,11.603,0.5610317876,10,90452,11.114,90452,1.0439985604,1,1,1.0439985604,10,0.5610317876
cs_repetitions-2-unfolded,pnml,chain,sat-like,1,0.034,0.0084327404,10,688,0.03,688,1.1333333333,1,1,1.1333333333,10,0.0084327404
cs_repetitions-3-unfolded,pnml,chain-prev,sat-like,1,4.079,0.6081200539,10,10411,2.474,10411,1.6487469685,1,1,1.6487469685,10,0.6081200539
cs_repetitions-4-unfolded,pnml,bfs-prev,sat-like,10,153.628,13.3986365807,10,91162,49.91,91162,3.078100581,1,1,3.078100581,10,13.3986365807
cyclic_scheduler.1,dve2C,chain-prev,sat-like,10,0.018,0.0042163702,10,221,0.018,221,1,1,1,1,10,0.0042163702
cyclic_scheduler.2,dve2C,chain-prev,none,,0.017,0.0067494856,10,197,0.015,197,1.1333333333,1,1,1.1333333333,10,0.0067494856
cyclic_scheduler.3,dve2C,chain-prev,sat-loop,20,0.046,0.0084327404,10,373,0.039,373,1.1794871795,1,1,1.1794871795,10,0.0084327404
cyclic_scheduler.4,dve2C,chain-prev,sat-loop,2147483647,0.0506666667,0.0101483253,30,411,0.047,411,1.0780141844,1,1,1.0780141844,30,0.0101483253
database2UNFOLD,pnml,chain,sat-like,5,0.01,0.0047140452,10,170,0.01,170,1,1,1,1,10,0.0047140452
database4UNFOLD,pnml,chain,sat-like,10,31.931,3.1773170023,10,394610,30.712,394610,1.0396913259,1,1,1.0396913259,10,3.1773170023
dekker-10,pnml,chain-prev,sat-like,5,0.492,0.0532916504,10,6624,0.492,6624,1,1,1,1,10,0.0532916504
dekker-15,pnml,chain-prev,sat-like,10,23.347,0.7993476507,10,174024,23.347,174024,1,1,1,1,10,0.7993476507
deploy_2_a,pnml,bfs-prev,sat-like,10,0.158,0.0122927259,10,492,0.111,492,1.4234234234,1,1,1.4234234234,10,0.0122927259
deploy_3_a,pnml,chain-prev,sat-like,20,0.294,0.036270588,10,891,0.281,891,1.0462633452,1,1,1.0462633452,10,0.036270588
deploy_4_a,pnml,chain,sat-like,20,1.993,0.1600034722,10,2633,1.586,2633,1.2566204288,1,1,1.2566204288,10,0.1600034722
deploy_5_a,pnml,chain-prev,sat-like,10,3.466,0.2915552168,10,3279,2.954,3279,1.173324306,1,1,1.173324306,10,0.2915552168
deploy_6_a,pnml,chain,sat-like,40,8.822,1.1744956364,10,6962,8.465,6962,1.0421736562,1,1,1.0421736562,10,1.1744956364
deploy_7_a,pnml,chain,sat-like,80,22.993,2.2029931659,10,19842,22.993,19842,1,1,1,1,10,2.2029931659
des_00_a,pnml,chain,sat-like,5,11.084,0.5207089185,10,72416,9.082,72416,1.2204360273,1,1,1.2204360273,10,0.5207089185
des_01_a,pnml,chain,sat-like,5,1.334,0.1462266126,10,31278,1.334,31278,1,1,1,1,10,0.1462266126
des_02_a,pnml,chain,sat-like,10,7.589,0.5474882038,10,105903,7.037,105903,1.0784425181,1,1,1.0784425181,10,0.5474882038
distributeur-01-unfolded-02,pnml,chain-prev,sat-like,1,0.018,0.0063245553,10,79,0.018,79,1,1,1,1,10,0.0063245553
dlcsh_2_a,pnml,chain-prev,sat-loop,80,158.253,6.071101035,10,693866,158.253,693866,1,1,1,1,10,6.071101035
dnawalk-01,pnml,chain-prev,sat-like,1,0.042,0.0122927259,10,412,0.03575,412,1.1748251748,1,1,1.1748251748,10,0.0122927259
dnawalk-02,pnml,chain,sat-loop,10,0.032,0.0078881064,10,376,0.031,376,1.0322580645,1,1,1.0322580645,10,0.0078881064
dnawalk-03,pnml,chain,sat-loop,10,0.035,0.0084983659,10,388,0.033,388,1.0606060606,1,1,1.0606060606,10,0.0084983659
dnawalk-04,pnml,bfs-prev,sat-like,1,8.633,0.5010666401,10,4986,1.161,4986,7.43583118,1,1,7.43583118,10,0.5010666401
dnawalk-05,pnml,chain-prev,sat-like,1,7.605,0.591387258,10,7306,3.416,7306,2.2262880562,1,1,2.2262880562,10,0.591387258
dnawalk-06,pnml,bfs-prev,sat-like,1,17.617,0.6223619883,10,7689,3.348,7689,5.2619474313,1,1,5.2619474313,10,0.6223619883
dnawalk-07,pnml,bfs-prev,sat-like,10,2.628,0.3131843617,10,11644,2.628,11644,1,1,1,1,10,0.3131843617
dnawalk-08,pnml,bfs-prev,sat-like,1,6.506,0.2847689122,10,9227,3.038,9227,2.1415404872,1,1,2.1415404872,10,0.2847689122
dnawalk-09,pnml,chain-prev,sat-like,1,2.325,0.0356682243,10,6242,2.325,6242,1,1,1,1,10,0.0356682243
dnawalk-10,pnml,bfs-prev,sat-like,1,6.888,0.5494198961,10,9538,2.625,9538,2.624,1,1,2.624,10,0.5494198961
dnawalk-11,pnml,chain-prev,sat-like,1,2.196,0.2555256021,10,5159,2.141,5159,1.0256889304,1,1,1.0256889304,10,0.2555256021
dnawalk-12,pnml,bfs-prev,sat-like,1,71.665,7.2179779409,10,24274,11.297,24274,6.3437195716,1,1,6.3437195716,10,7.2179779409
dnawalk-13,pnml,bfs-prev,sat-like,20,14.106,1.0044146997,10,49028,14.106,49028,1,1,1,1,10,1.0044146997
dnawalk-14,pnml,chain-prev,sat-like,1,62.552,3.0282220673,10,36253,16.468,36253,3.7983968909,1,1,3.7983968909,10,3.0282220673
dnawalk-15,pnml,bfs,sat-like,20,7.333,0.5073033281,10,19321,6.711,19321,1.0926836537,1,1,1.0926836537,10,0.5073033281
elevator.1,dve2C,bfs-prev,sat-like,5,0.434,0.0512510163,10,9155,0.391,9155,1.1099744246,1,1,1.1099744246,10,0.0512510163
elevator.2,dve2C,chain-prev,sat-like,1,0.116,0.0051639778,10,2939,0.116,2939,1,1,1,1,10,0.0051639778
elevator2.1,dve2C,chain,sat-loop,1,0.013,0.0048304589,10,251,0.01,251,1.3,1,1,1.3,10,0.0048304589
elevator2.2,dve2C,chain-prev,sat-loop,2147483647,0.094,0.0098188725,40,685,0.041,685,2.2926829268,1,1,2.2926829268,40,0.0098188725
elevator2.3,dve2C,chain-prev,sat-loop,5,1.142,0.055136195,10,932,1.112,932,1.0269784173,1,1,1.0269784173,10,0.055136195
elevator.3,dve2C,chain-prev,sat-loop,20,11.628,0.2119643576,10,167403,7.542,167403,1.5417661098,1,1,1.5417661098,10,0.2119643576
elevator.4,dve2C,bfs-prev,sat-like,5,13.646,0.5900508453,10,221558,13.637,221558,1.0006599692,1,1,1.0006599692,10,0.5900508453
EnergyBus,pnml,chain-prev,sat-like,5,139.209,7.4013308863,10,,139.209,,1,,,1,10,7.4013308863
erk-000001,pnml,bfs,sat-like,1,0.004,0.0051639778,10,28,0.004,28,1,1,1,1,10,0.0051639778
erk-000010,pnml,chain-prev,sat-like,1,0.03,0.0047140452,10,871,0.024,871,1.25,1,1,1.25,10,0.0047140452
erk-000100,pnml,chain-prev,sat-like,5,67.136,2.0246162874,10,374611,67.136,374611,1,1,1,1,10,2.0246162874
exit.1,dve2C,bfs-prev,sat-loop,2147483647,2.1723333333,0.1330979244,30,28844,1.121,28844,1.9378531073,1,1,1.9378531073,30,0.1330979244
exit.2,dve2C,chain-prev,sat-like,1,0.297,0.0170293864,10,3303,0.2636666667,3303,1.1264222503,1,1,1.1264222503,10,0.0170293864
exit.3,dve2C,chain-prev,sat-like,1,2.64,0.1623439422,10,27153,2.64,27153,1,1,1,1,10,0.1623439422
exit.4,dve2C,chain-prev,sat-like,1,84.709,2.3387244862,10,615433,84.709,615433,1,1,1,1,10,2.3387244862
exit.5,dve2C,chain,sat-loop,2147483647,0.753,0.0542122266,30,11845,0.753,11845,1,1,1,1,30,0.0542122266
extinction.1,dve2C,chain-prev,sat-like,1,0.275,0.0084983659,10,4927,0.25,4927,1.1,1,1,1.1,10,0.0084983659
extinction.2,dve2C,chain-prev,sat-like,5,0.47,0.0226077666,10,8577,0.416,8577,1.1298076923,1,1,1.1298076923,10,0.0226077666
extinction.3,dve2C,chain-prev,sat-like,5,1.964,0.2941352674,10,29247,1.615,29247,1.2160990712,1,1,1.2160990712,10,0.2941352674
extinction.4,dve2C,chain-prev,sat-like,1,11.993,0.1294475441,10,155741,11.993,155741,1,1,1,1,10,0.1294475441
firewire_link.2,dve2C,chain-prev,sat-like,5,0.858,0.0863841549,10,5113,0.842,5113,1.0190023753,1,1,1.0190023753,10,0.0863841549
firewire_link.3,dve2C,chain-prev,sat-like,1,30.335,0.8774236276,10,112016,30.335,112016,1,1,1,1,10,0.8774236276
firewire_link.5,dve2C,chain-prev,sat-like,1,21.265,0.2891462529,10,96933,21.265,96933,1,1,1,1,10,0.2891462529
fischer.1,dve2C,chain,sat-loop,5,0.013,0.008232726,10,270,0.013,270,1,1,1,1,10,0.008232726
fischer.2,dve2C,chain-prev,sat-like,1,0.06,0.0066666667,10,1213,0.06,1213,1,1,1,1,10,0.0066666667
fischer.3,dve2C,bfs-prev,sat-like,1,1.016,0.0263312235,10,8902,1.016,8902,1,1,1,1,10,0.0263312235
fischer.4,dve2C,chain-prev,sat-like,1,0.698,0.0282055944,10,13790,0.698,13790,1,1,1,1,10,0.0282055944
fischer.5,dve2C,bfs-prev,sat-like,1,7.257,0.2208594324,10,65138,7.257,65138,1,1,1,1,10,0.2208594324
fischer.6,dve2C,chain-prev,sat-like,1,1.745,0.0777817459,10,29648,1.745,29648,1,1,1,1,10,0.0777817459
fischer.7,dve2C,bfs-prev,sat-like,1,10.935,0.3093811026,10,96473,10.935,96473,1,1,1,1,10,0.3093811026
FMS-10,pnml,chain,sat-loop,10,0.071,0.0099442893,10,1437,0.041,1437,1.7317073171,1,1,1.7317073171,10,0.0099442893
FMS-100,pnml,chain-prev,sat-loop,10,67.128,7.3006161079,10,264627,19.354,264627,3.4684302986,1,1,3.4684302986,10,7.3006161079
FMS-2,pnml,chain,none,,0.006,0.006992059,10,123,0.006,123,1,1,1,1,10,0.006992059
FMS-20,pnml,chain-prev,sat-loop,10,0.427,0.009486833,10,5747,0.194,5747,2.2010309278,1,1,2.2010309278,10,0.009486833
FMS-200,pnml,chain-prev,sat-like,1,189.342,13.1357813285,10,,189.342,,1,,,1,10,13.1357813285
FMS-5,pnml,chain,sat-loop,10,0.02,0.0066666667,10,432,0.014,432,1.4285714286,1,1,1.4285714286,10,0.0066666667
FMS-50,pnml,chain-prev,sat-loop,10,6.571,1.0163054003,10,46077,2.388,46077,2.7516750419,1,1,2.7516750419,10,1.0163054003
galloc_res-3,pnml,chain-prev,sat-like,1,56.974,3.8611115268,10,,56.974,,1,,,1,10,3.8611115268
gear.1,dve2C,chain-prev,sat-like,1,0.105,0.0052704628,10,3288,0.105,3288,1,1,1,1,10,0.0052704628
gear.2,dve2C,chain-prev,sat-like,1,0.662,0.0175119007,10,16338,0.598,16338,1.1070234114,1,1,1.1070234114,10,0.0175119007
G-PPP-1000-10,pnml,chain-prev,sat-loop,2147483647,4.623,0.3113834536,30,44655,4.623,44655,1,1,1,1,30,0.3113834536
G-PPP-1000-100,pnml,bfs-prev,sat-like,1,0.296,0.0236643191,10,9666,0.296,9666,1,1,1,1,10,0.0236643191
G-PPP-1000-1000,pnml,bfs-prev,sat-like,1,25.574,2.1834844731,10,96066,25.574,96066,1,1,1,1,10,2.1834844731
G-PPP-100-10,pnml,chain-prev,sat-like,2147483647,4.6376666667,0.3906377044,30,44655,4.6376666667,44655,1,1,1,1,30,0.3906377044
G-PPP-100-100,pnml,bfs-prev,sat-like,1,0.303,0.0302030168,10,9666,0.303,9666,1,1,1,1,10,0.0302030168
G-PPP-100-1000,pnml,bfs-prev,sat-like,1,0.286,0.0096609178,10,9668,0.286,9668,1,1,1,1,10,0.0096609178
G-PPP-100-10000,pnml,chain-prev,sat-like,1,0.295,0.0126929552,10,9668,0.295,9668,1,1,1,1,10,0.0126929552
G-PPP-100-100000,pnml,bfs-prev,sat-like,1,0.286,0.0134989712,10,9668,0.286,9668,1,1,1,1,10,0.0134989712
G-PPP-10-10,pnml,chain-prev,sat-like,20,5.728,0.5242306532,10,56649,4.981,56649,1.1499698856,1,1,1.1499698856,10,0.5242306532
G-PPP-10-100,pnml,chain-prev,sat-loop,20,8.044,0.3259243266,10,61199,6.66,61199,1.2078078078,1,1,1.2078078078,10,0.3259243266
G-PPP-1-1,pnml,chain-prev,sat-like,10,0.042,0.0078881064,10,1426,0.042,1426,1,1,1,1,10,0.0078881064
G-PPP-1-10,pnml,chain,none,,0.184,0.0117378779,10,3516,0.162,3516,1.1358024691,1,1,1.1358024691,10,0.0117378779
G-PPP-1-100,pnml,chain-prev,sat-like,5,3.269,0.2721702898,10,4932,2.358,4932,1.3863443596,1,1,1.3863443596,10,0.2721702898
G-PPP-1-1000,pnml,bfs-prev,sat-like,10,1529.88,569.4833800911,2,23605,212.868,23605,7.18698912,1,1,7.18698912,2,569.4833800911
hanoi.1,dve2C,bfs-prev,sat-loop,20,1,0.0205480467,10,15950,1,15950,1,1,1,1,10,0.0205480467
hanoi.2,dve2C,chain-prev,sat-like,2147483647,134.585,5.2711773378,20,594970,111.1295,594970,1.2110645688,1,1,1.2110645688,20,5.2711773378
HouseConstruction-002,pnml,chain,sat-loop,20,0.013,0.0048304589,10,349,0.013,349,1,1,1,1,10,0.0048304589
HouseConstruction-005,pnml,chain-prev,sat-like,5,0.093,0.0133749351,10,3176,0.093,3176,1,1,1,1,10,0.0133749351
HouseConstruction-010,pnml,chain-prev,sat-like,5,0.992,0.0970452357,10,30151,0.992,30151,1,1,1,1,10,0.0970452357
HouseConstruction-020,pnml,chain-prev,sat-like,5,20.711,2.0203489798,10,428701,20.711,428701,1,1,1,1,10,2.0203489798
